CGPA,Coding_Score,Projects_Count,Internship,Salary_LPA
8.16,62,3,0,11.1
8.02,79,4,1,15.4
7.93,75,4,1,15.7
9.17,100,6,1,21.8
9.88,84,8,1,20.6
7.98,80,3,0,11.7
7.67,77,1,1,12.4
9.19,98,7,1,20.4
8.18,62,3,1,11.8
7.21,75,3,1,12.6
7.73,61,5,1,12.6
9.89,90,6,1,19.5
8.43,81,4,1,15.8
6.14,52,1,0,5.5
6.36,72,1,0,8.1
6.1,60,1,1,7.9
7.5,83,4,1,15.2
8.49,69,6,1,16.0
7.62,88,4,0,14.5
6.01,67,1,1,8.3
7.19,55,3,1,10.3
7.73,93,3,1,17.1
9.72,100,5,1,21.6
8.02,81,3,1,14.9
7.07,51,4,0,7.3
9.8,81,8,1,21.7
9.57,100,6,1,22.2
8.44,83,6,1,17.9
7.06,78,2,1,11.4
7.39,58,3,1,10.4
6.8,65,2,0,7.4
9.55,100,5,1,20.5
6.36,64,5,1,11.7
6.8,65,1,1,9.7
6.67,52,3,0,7.3
7.61,60,2,1,9.5
6.44,64,3,0,7.7
6.18,57,1,1,7.0
6.7,79,3,1,12.4
6.2,48,2,0,4.1
8.08,84,4,1,16.7
7.63,75,2,1,12.8
6.44,66,2,1,9.3
8.22,74,2,1,13.7
6.02,68,2,1,9.6
9.28,86,6,1,20.0
6.74,68,2,1,11.3
7.41,71,3,1,13.3
7.61,70,3,1,13.7
6.1,56,3,0,7.4
7.31,56,6,0,8.8
7.14,54,2,1,9.0
6.14,45,3,0,5.7
9.74,98,6,1,21.8
6.67,53,4,0,7.2
9.33,100,6,1,20.8
8.17,80,5,1,16.3
6.45,45,1,1,7.3
8.02,81,4,1,16.0
9.62,100,4,1,20.6
6.73,54,2,1,9.4
8.21,77,5,1,14.3
8.57,52,5,1,12.9
9.37,65,6,1,16.8
7.53,77,2,1,14.1
6.77,45,3,1,8.0
9.38,84,7,1,18.5
7.45,52,2,0,7.9
9.17,79,6,1,17.5
8.21,100,4,1,18.6
6.33,48,4,0,7.2
6.72,48,1,0,4.7
6.21,45,5,1,7.3
7.83,82,5,1,14.9
6.72,64,2,1,9.3
9.74,94,7,1,21.3
9.39,100,5,1,20.2
9.65,82,3,1,17.8
7.31,69,4,1,13.0
8.94,79,5,1,17.9
9.24,84,7,1,19.3
9.25,65,5,1,14.8
8.57,92,5,1,17.5
8.32,70,4,1,12.7
6.36,72,2,0,8.8
9.87,89,5,1,20.6
9.34,76,4,1,17.3
6.37,54,1,0,6.2
6.64,68,2,1,10.3
9.69,100,4,1,22.6
7.0,45,2,1,7.8
9.36,100,6,1,19.9
9.57,70,5,1,16.3
9.12,75,5,1,15.4
6.21,70,1,1,10.3
6.4,58,3,1,9.4
9.13,88,5,1,18.1
7.39,69,1,1,12.0
6.88,63,3,1,10.1
7.88,90,3,1,16.3
6.8,62,1,0,7.3
7.6,81,3,1,13.1
6.07,65,1,1,9.7
9.47,63,6,1,15.4
6.43,45,2,0,4.2
7.59,92,5,1,18.0
8.93,96,6,1,21.9
8.17,73,6,1,16.4
8.03,61,4,1,14.3
9.79,100,5,1,21.0
9.01,94,6,1,19.9
7.11,82,3,1,13.8
6.35,55,2,1,8.0
7.23,83,3,1,14.1
9.08,81,5,1,17.6
6.16,75,2,1,9.8
9.69,81,6,1,20.0
7.95,81,4,1,14.6
9.81,83,6,1,19.5
6.82,61,2,1,10.5
7.81,68,3,0,10.5
6.83,65,3,0,9.0
8.82,72,5,1,15.4
7.24,77,4,1,14.5
6.31,46,1,1,4.8
9.2,87,5,1,18.7
6.22,64,3,1,11.0
6.74,68,3,0,9.9
9.43,100,3,1,18.9
6.87,57,3,0,7.7
6.98,73,3,0,11.1
9.15,92,7,1,20.4
7.54,58,3,0,9.4
6.99,48,5,1,9.8
6.68,56,3,0,7.5
6.29,45,1,1,5.4
8.68,100,3,1,18.4
8.88,88,3,1,17.2
7.66,60,6,1,13.4
6.38,55,2,1,9.0
7.21,69,2,1,12.2
7.0,72,4,1,12.5
8.51,77,4,1,16.7
9.71,77,9,1,20.1
6.99,77,1,1,11.2
9.63,97,7,1,23.2
9.76,91,5,1,20.1
7.47,87,4,1,15.1
8.26,98,4,1,18.4
7.74,67,4,1,12.2
6.15,52,3,1,8.0
6.72,66,2,0,9.6
6.59,56,2,1,9.5
9.5,70,5,1,16.9
8.52,81,3,1,14.5
8.13,80,4,1,15.7
8.34,65,3,0,10.8
6.4,48,1,1,6.9
9.36,84,7,1,19.6
6.35,61,4,0,8.3
7.51,74,3,1,13.0
9.01,82,6,1,18.0
7.37,45,4,0,7.5
9.18,81,6,1,17.2
7.13,52,3,1,9.8
6.29,45,1,1,5.9
9.55,68,8,1,17.2
9.3,89,5,1,20.1
9.0,60,7,1,16.6
6.82,57,2,0,6.5
6.57,52,2,1,7.0
9.12,94,5,1,19.1
8.92,78,5,1,15.9
9.78,74,7,1,20.3
8.69,96,6,1,20.6
7.16,59,4,1,10.6
9.23,88,4,1,17.4
6.25,51,2,1,7.3
8.52,87,6,1,18.5
7.09,49,1,1,6.2
8.75,73,5,1,14.5
8.75,89,6,1,16.4
8.57,74,5,1,15.7
6.66,75,3,1,12.2
6.42,48,2,0,3.9
9.39,78,7,1,18.4
8.62,92,3,1,17.0
7.23,70,4,1,11.2
7.79,88,2,1,14.9
9.17,70,6,1,17.6
7.83,85,4,1,15.2
9.37,100,5,1,21.5
6.31,51,1,0,5.1
8.02,76,5,1,17.7
6.01,51,1,1,6.5
6.68,48,4,1,8.5
6.16,73,1,0,7.8
9.7,88,6,1,19.5
7.85,68,5,0,12.2
7.65,45,2,1,8.3
6.73,64,4,0,10.5
8.6,88,4,1,17.5
9.03,86,6,1,18.9
8.75,73,4,1,15.6
7.86,71,3,1,12.6
7.54,64,5,1,12.7
6.49,64,4,0,8.8
7.45,74,2,0,9.8
8.26,76,2,1,13.7
9.69,94,5,1,20.1
6.5,50,1,1,7.3
7.28,72,4,0,12.2
6.3,61,3,0,8.3
9.22,90,4,1,19.4
9.65,82,5,1,19.0
8.52,80,5,1,18.5
9.61,80,5,1,18.4
6.11,63,3,1,9.8
8.16,66,5,1,15.3
8.42,92,7,1,19.8
7.48,64,3,0,10.9
7.72,64,2,1,10.5
6.57,54,1,0,8.4
9.73,93,6,1,19.9
7.45,64,3,1,11.0
6.16,72,1,0,6.9
8.28,76,1,1,13.1
7.61,63,3,0,9.9
6.82,63,3,1,10.7
7.52,69,1,1,10.7
8.92,88,4,1,18.6
7.41,74,4,1,13.7
6.4,45,1,0,4.9
7.69,74,3,1,12.2
7.56,65,5,1,14.4
6.59,61,3,1,9.6
7.28,62,2,1,10.8
8.34,56,3,1,12.7
8.97,82,3,1,18.1
6.16,64,1,0,6.1
7.76,61,5,1,12.9
9.32,90,4,1,18.7
7.88,45,2,0,7.5
6.35,49,1,0,7.2
9.65,91,5,1,20.6
9.33,82,6,1,20.6
7.52,86,5,1,15.8
7.49,78,4,1,14.2
7.44,87,1,1,14.4
6.47,52,1,0,5.9
8.35,65,2,1,12.9
9.0,100,7,1,21.8
9.44,90,7,1,18.9
8.72,86,5,1,18.6
6.85,75,3,1,11.4
8.1,69,6,1,15.7
7.94,80,4,1,14.8
9.4,100,6,1,21.2
7.35,70,4,0,11.5
8.56,68,4,1,14.1
6.79,88,4,0,15.3
7.84,72,4,1,13.4
8.15,60,4,0,11.8
6.37,45,2,0,4.8
8.26,81,3,1,15.9
8.32,78,3,1,14.8
7.78,65,3,1,10.4
9.01,97,7,1,21.6
8.23,81,4,1,15.3
9.83,64,6,1,17.9
9.26,100,5,1,19.4
9.02,100,4,1,19.7
7.78,84,5,1,15.7
6.73,68,1,0,8.5
8.62,85,3,1,16.7
7.73,55,1,1,9.8
7.2,52,3,1,10.4
9.13,97,7,1,21.2
8.74,94,4,1,17.4
7.4,57,5,0,10.3
7.42,59,5,0,11.0
6.76,70,2,1,11.7
8.29,87,2,1,16.4
6.17,68,1,1,8.9
6.76,75,1,1,10.7
9.63,92,6,1,19.6
7.64,68,3,0,10.9
7.82,70,4,1,13.0
6.03,53,1,1,7.3
9.15,74,5,1,16.8
7.0,71,4,1,12.8
7.42,68,5,0,11.6
9.59,71,6,1,16.8
7.69,63,7,1,14.4
6.28,70,2,1,10.0
6.78,72,1,0,8.4
6.19,45,1,0,4.4
7.3,63,4,0,10.3
8.37,90,4,1,17.1
9.03,73,4,1,14.5
9.9,85,6,1,21.4
6.8,87,1,1,13.4
9.86,85,8,1,21.8
9.33,100,4,1,20.5
8.96,73,6,1,17.3
6.32,69,1,1,8.8
7.97,68,4,1,13.6
8.76,87,4,1,18.2
6.33,72,1,1,11.0
9.7,68,6,1,18.0
7.5,66,4,1,13.7
8.27,79,2,1,13.8
9.39,100,5,1,19.9
7.71,70,3,1,12.7
6.11,54,2,0,5.3
7.34,61,5,1,11.4
7.5,59,3,0,9.4
7.34,52,2,1,10.9
8.31,81,2,1,14.7
6.22,47,3,0,5.8
6.27,45,2,0,5.1
6.03,53,2,0,6.3
6.22,53,2,0,4.9
7.07,71,4,1,12.6
7.04,68,3,1,10.8
9.2,78,7,0,16.3
8.77,92,5,1,18.8
8.65,60,3,1,13.4
7.72,67,1,1,11.5
9.07,65,6,1,15.6
9.71,80,5,1,18.9
8.0,59,3,1,13.2
6.84,54,1,1,9.0
9.56,78,8,1,20.3
7.69,45,3,0,7.1
6.35,68,3,1,10.6
8.05,69,2,1,13.5
9.48,77,7,1,19.1
6.4,69,1,1,8.3
9.72,100,7,1,22.1
9.12,80,5,1,18.1
9.6,100,7,1,21.9
8.61,73,8,1,16.9
8.4,67,2,1,13.9
7.46,85,2,1,15.3
8.89,61,5,0,13.2
7.36,83,4,1,14.9
6.85,66,1,1,9.7
8.55,78,5,1,15.8
6.05,55,2,0,5.2
9.05,90,3,1,17.1
9.66,90,6,1,21.9
6.13,45,1,0,3.5
6.01,51,1,0,5.6
6.89,65,2,1,10.2
8.98,91,5,1,19.5
9.46,78,7,1,18.0
8.44,76,4,1,15.4
9.28,84,6,1,18.0
6.98,70,2,0,10.1
9.59,98,5,1,21.6
6.6,81,3,1,12.0
7.24,67,5,0,12.0
8.94,65,5,1,13.2
7.26,76,2,0,12.2
6.27,75,3,0,8.4
8.32,73,4,1,14.8
8.33,63,4,1,11.8
7.71,53,4,0,8.2
7.86,78,2,1,13.8
7.44,69,4,0,12.2
9.26,85,6,1,20.2
7.98,70,6,0,13.6
6.83,52,4,0,8.6
9.33,92,4,1,19.2
7.59,54,3,1,11.5
6.23,63,2,1,9.2
9.29,94,5,1,17.9
7.14,73,3,1,11.9
8.38,46,5,1,12.7
9.11,100,9,1,23.3
6.36,57,1,0,6.4
8.09,59,3,1,12.6
8.62,90,5,1,19.3
6.4,63,1,0,7.0
6.86,76,2,1,11.1
8.01,69,2,1,13.4
6.76,58,1,0,8.7
9.1,86,6,1,18.2
7.13,62,2,1,10.1
8.56,90,6,1,18.2
9.29,85,5,1,17.7
8.32,72,3,1,15.0
8.16,87,3,1,16.7
9.4,100,6,0,18.1
9.29,73,5,1,18.2
8.37,71,1,0,10.3
6.1,74,1,1,11.1
9.5,88,6,1,20.5
6.94,60,2,0,6.8
6.95,55,2,1,10.2
9.19,75,6,1,17.3
8.4,85,4,1,16.1
8.29,92,5,1,17.6
6.01,66,2,0,7.1
9.52,78,6,1,20.1
7.11,70,4,1,11.0
6.47,57,1,1,6.7
8.3,90,3,1,16.5
8.82,72,6,1,16.0
9.6,63,6,1,15.9
7.67,81,4,1,15.1
7.84,71,4,1,13.8
9.22,76,6,1,17.6
8.59,72,4,1,15.4
8.4,66,4,1,12.9
6.88,71,3,1,10.9
7.53,79,1,1,12.3
7.33,72,5,1,13.4
6.82,64,2,1,9.2
8.22,65,4,1,13.2
6.21,55,1,0,6.7
8.78,91,7,1,19.1
8.19,60,4,1,12.5
7.76,68,5,0,12.6
9.48,88,6,1,20.2
6.18,67,2,1,8.5
8.58,71,4,1,15.1
9.32,85,5,1,18.6
7.0,67,1,1,9.2
8.54,88,4,1,15.6
6.7,65,3,1,9.8
8.0,80,3,1,13.4
7.55,78,3,1,13.3
7.03,56,2,0,7.2
6.96,66,3,1,11.7
9.26,88,4,1,18.6
9.62,86,6,1,19.7
6.6,55,1,1,8.5
6.1,51,1,1,6.3
6.98,53,2,0,6.6
8.13,64,4,1,14.9
9.7,70,5,1,17.5
7.89,80,4,1,14.6
8.24,60,6,1,12.2
8.8,84,7,1,18.9
7.82,73,3,1,13.8
7.29,96,4,1,15.8
8.37,76,5,1,15.9
8.8,83,5,1,16.3
8.04,70,4,1,14.2
9.09,91,5,1,19.5
6.43,58,4,0,7.4
9.42,94,6,1,20.3
8.93,94,5,1,18.5
9.49,77,5,1,18.5
9.6,97,6,1,23.1
8.95,92,4,0,17.6
7.69,54,3,1,10.5
8.69,72,5,1,15.7
9.76,94,6,1,21.2
6.97,52,3,0,8.4
8.52,92,3,1,17.9
9.82,87,6,1,18.3
8.52,67,5,1,14.6
9.11,56,5,1,13.3
7.32,73,4,1,13.8
8.65,70,5,1,13.6
9.47,83,7,1,17.6
8.5,76,4,1,14.7
9.49,85,6,1,18.6
9.46,100,8,1,24.1
8.28,71,4,1,14.6
8.35,64,3,1,11.5
7.86,99,3,1,17.9
9.68,100,7,1,21.1
8.2,52,4,1,10.8
9.55,100,7,1,23.8
9.63,90,6,1,20.5
8.98,81,4,0,15.7
9.88,82,7,1,20.4
6.4,58,1,0,5.6
6.51,59,3,1,9.0
9.69,83,6,1,19.7
8.81,82,7,1,18.5
8.86,88,3,1,17.8
8.12,89,3,1,16.0
7.61,59,3,0,10.7
9.6,95,5,1,21.8
7.32,73,3,1,12.8
9.08,79,4,1,15.7
9.09,97,4,1,19.2
9.87,82,6,1,19.2
7.27,69,3,1,12.8
7.62,56,2,1,8.9
6.58,65,4,0,8.3
6.14,52,1,0,4.3
8.32,90,5,1,17.9
6.77,57,2,1,10.1
9.62,98,6,1,21.6
8.12,81,5,1,14.4
6.06,60,1,0,6.5
6.23,68,1,1,9.7
7.46,56,5,1,10.8
7.68,78,4,1,13.9
6.79,55,6,0,8.0
6.29,76,5,0,10.0
6.07,64,3,1,8.3
7.61,74,3,1,13.4
9.1,88,7,1,19.8
6.93,68,2,1,11.9
9.04,93,6,1,19.8
8.84,66,6,1,15.9
8.66,94,3,1,19.3
7.13,62,4,1,12.5
8.75,93,3,1,16.4
6.61,66,2,0,9.1
6.62,50,1,0,6.1
6.17,67,1,1,8.9
6.66,57,1,0,5.5
7.11,58,3,1,9.6
8.12,54,2,1,9.7
9.77,73,5,1,16.1
6.48,48,2,0,6.1
8.39,69,3,1,12.8
6.45,59,4,1,9.3
9.4,95,6,1,21.1
8.13,80,3,1,16.5
6.42,73,3,1,11.1
8.58,69,6,1,14.6
6.1,58,3,0,7.2
6.21,57,1,0,5.5
9.69,91,9,1,23.0
7.99,88,4,1,17.1
9.89,77,6,1,18.5
9.83,97,9,1,23.5
8.6,94,4,1,17.1
9.14,71,8,1,17.5
6.7,76,3,1,12.9
9.76,96,9,0,22.3
6.78,66,1,1,9.8
7.31,56,3,0,8.4
8.27,89,4,1,16.7
8.86,100,4,1,19.0
7.91,69,1,1,11.7
9.21,81,6,1,18.1
7.94,79,4,1,15.0
9.67,92,9,1,22.9
6.84,49,3,0,5.8
6.62,69,2,1,10.9
8.29,60,7,1,14.6
7.54,75,2,0,11.1
7.05,67,1,1,11.7
7.23,70,4,1,12.3
8.66,73,5,1,17.2
6.3,69,2,1,10.3
8.89,87,5,1,18.1
6.91,62,1,1,8.9
8.42,89,5,1,19.8
6.21,63,3,0,8.1
7.95,75,5,1,15.2
9.55,84,7,1,20.1
9.1,83,7,1,20.8
8.47,73,5,1,16.4
6.24,65,1,0,7.1
6.94,53,4,0,8.3
8.53,60,6,1,14.4
7.23,73,2,1,11.9
7.93,87,2,1,15.1
6.17,69,1,1,10.2
6.56,73,2,0,9.4
9.77,91,6,1,20.3
9.53,83,6,1,19.2
9.19,72,4,1,16.1
7.99,62,4,1,14.5
6.11,69,2,1,10.3
8.31,84,5,1,17.7
8.58,82,6,1,17.4
8.73,82,6,1,17.0
7.68,59,5,1,12.9
6.83,72,3,1,11.9
8.42,82,3,1,15.3
7.97,83,6,1,17.2
8.18,70,5,1,13.7
6.03,70,3,1,10.8
9.36,80,5,1,17.0
8.66,81,5,1,17.4
6.78,56,1,1,7.7
9.73,84,7,1,19.8
9.61,99,6,1,21.5
8.42,72,3,1,14.7
8.01,73,4,1,14.1
6.73,53,1,0,6.2
9.79,91,5,1,20.0
9.47,100,6,1,22.3
8.67,85,6,1,17.5
7.15,74,3,1,11.6
9.52,88,7,1,21.0
9.72,84,5,1,21.1
6.36,45,2,0,3.5
8.74,80,6,1,18.4
9.38,84,6,1,19.0
9.62,84,6,1,19.7
8.86,72,5,1,14.6
9.08,84,6,1,18.8
7.73,48,3,0,9.0
6.41,53,2,0,4.9
8.8,75,7,1,19.1
8.05,59,4,1,12.4
6.33,52,2,1,7.9
6.87,68,4,1,11.6
8.16,86,5,1,15.5
6.56,61,2,1,8.7
9.53,91,7,1,21.4
8.06,84,3,0,14.2
9.64,88,5,1,18.6
9.24,76,7,1,19.1
9.56,100,7,1,22.8
7.67,65,5,1,13.6
7.07,45,1,0,5.5
7.89,69,3,1,13.5
6.87,71,3,1,12.2
9.13,100,7,1,22.6
6.91,70,3,1,10.7
9.89,86,8,1,22.6
7.15,75,4,0,12.9
9.5,89,7,1,20.2
7.22,87,2,1,15.6
6.87,64,1,1,8.6
7.58,61,2,0,9.1
8.21,60,3,1,13.6
7.83,100,4,1,18.4
8.43,61,6,1,14.7
7.38,70,4,1,13.0
9.79,97,7,1,22.3
8.39,72,5,1,16.0
6.84,62,1,1,9.3
8.36,53,5,0,11.3
6.7,45,1,0,5.5
7.52,81,4,1,14.5
7.14,59,1,1,9.3
7.41,75,4,1,11.7
6.47,45,1,0,4.0
7.96,85,5,1,15.8
7.74,80,3,1,15.1
9.19,88,5,1,20.0
6.24,55,1,1,7.9
8.32,64,8,1,17.6
7.94,72,5,1,14.7
9.14,79,6,1,17.5
8.86,92,6,1,19.2
8.57,61,6,1,15.8
9.05,77,6,1,16.4
6.89,60,4,1,12.4
9.58,71,7,1,17.3
9.18,91,6,1,19.8
8.81,85,3,1,17.1
7.86,89,5,1,16.3
9.43,94,6,1,19.8
9.82,97,7,1,22.8
7.14,64,2,1,9.8
6.9,52,3,1,9.8
8.09,74,4,1,14.9
9.88,90,3,1,18.5
7.71,96,4,1,16.8
6.42,47,1,0,4.8
9.83,75,6,1,19.1
7.53,62,2,1,10.6
8.41,93,4,1,18.7
7.27,60,1,1,8.7
7.4,66,4,1,12.7
6.58,72,2,1,9.4
9.32,93,4,1,18.7
9.64,100,6,1,21.6
8.38,99,4,1,18.0
8.13,75,5,1,15.5
8.19,88,4,1,18.1
9.53,98,9,1,23.2
7.83,77,4,1,14.9
9.87,100,7,1,23.2
9.34,77,5,1,17.8
6.98,63,3,0,8.3
8.5,71,5,1,16.7
9.51,100,6,1,21.7
7.79,77,3,1,13.3
8.86,75,6,1,16.1
7.41,78,2,1,13.3
8.76,70,4,1,15.9
6.48,59,2,1,6.8
7.73,55,5,1,11.4
8.79,95,3,1,18.4
9.86,91,9,1,22.3
8.47,83,7,1,17.7
7.79,85,4,1,14.6
7.09,58,2,0,7.1
9.88,100,7,1,21.5
6.75,45,2,0,5.5
8.06,63,4,1,13.0
8.78,92,7,1,20.1
7.09,58,4,1,11.6
8.31,85,4,1,15.9
7.12,81,2,1,12.8
6.49,73,2,0,8.8
9.02,72,6,1,17.2
7.13,50,1,1,8.7
7.2,63,3,0,9.9
6.65,77,3,1,11.3
7.87,78,6,1,15.5
7.3,60,3,1,10.5
6.18,74,1,1,9.6
8.88,60,7,1,16.6
8.39,61,5,1,13.0
7.36,64,2,1,10.5
9.18,100,5,1,21.1
9.79,100,5,1,19.9
6.07,69,1,0,7.0
6.95,59,4,1,11.2
6.1,57,1,0,6.4
9.79,88,5,1,18.6
8.76,75,6,1,16.7
6.25,45,2,0,5.6
6.9,72,3,1,11.0
6.45,56,1,1,6.8
6.72,60,1,1,8.0
6.21,62,3,0,7.5
7.38,48,4,0,8.6
8.39,94,5,1,19.0
6.65,58,3,1,9.2
6.32,45,2,1,7.5
8.26,62,4,1,11.8
7.14,92,2,1,12.9
8.05,82,3,1,16.0
9.67,95,5,1,20.5
7.5,72,4,1,13.2
7.85,65,1,1,10.2
6.07,56,1,0,4.5
7.05,90,4,1,14.8
6.19,60,2,0,7.3
8.23,74,5,1,15.8
9.43,88,7,1,19.2
7.54,81,1,1,13.7
8.07,59,5,1,12.8
7.26,54,2,1,9.7
7.56,72,3,1,13.1
8.1,56,4,1,11.9
6.58,78,3,1,11.7
7.77,84,3,1,16.3
8.43,85,6,1,18.7
8.52,94,4,1,17.3
9.63,77,7,0,16.5
9.21,92,5,1,19.1
6.24,64,3,0,7.2
8.69,100,4,1,19.2
8.44,99,5,1,18.7
7.81,83,5,1,15.9
6.24,73,3,1,11.4
6.12,66,1,0,6.4
8.6,89,2,1,15.0
6.32,79,2,1,12.4
9.51,100,6,1,22.4
6.22,56,1,0,3.9
6.94,52,1,1,8.2
8.13,76,3,1,14.2
8.43,66,4,1,12.6
7.97,66,3,1,12.6
9.57,82,6,1,19.3
8.98,73,5,1,16.4
8.82,82,3,1,15.0
7.43,75,3,1,14.0
7.19,49,5,1,9.7
8.46,85,5,1,16.9
7.69,64,4,1,13.5
9.17,82,8,0,16.8
7.14,71,3,1,12.5
8.57,69,4,1,14.1
9.56,90,5,1,20.2
8.24,84,5,1,17.6
8.43,84,5,1,15.7
8.15,71,3,1,15.1
7.27,75,2,1,13.4
9.24,90,4,1,19.1
6.89,65,4,1,12.0
6.41,53,1,1,8.0
7.4,45,3,0,6.7
6.38,57,1,1,8.0
7.81,72,5,1,13.9
7.59,81,4,1,14.1
8.51,73,7,1,15.9
8.67,78,4,1,15.7
7.85,75,3,0,12.0
9.23,78,6,1,19.1
8.57,70,6,1,17.0
6.67,85,1,1,12.1
7.12,80,3,1,14.3
9.64,84,7,1,20.9
6.93,66,4,1,10.4
6.41,61,4,1,8.7
9.74,81,6,1,18.2
8.39,82,5,1,17.1
9.04,96,4,1,18.4
9.01,91,5,1,18.0
6.5,52,1,1,8.4
7.26,59,3,1,11.0
8.77,92,7,1,20.7
6.23,53,2,1,7.8
6.05,75,1,0,8.5
6.87,64,1,1,10.4
6.04,55,2,0,5.9
6.22,61,1,1,8.1
9.24,89,6,1,20.0
8.33,74,3,1,13.2
6.52,52,3,1,9.2
7.44,85,3,1,15.2
6.56,48,1,0,4.9
6.61,56,2,0,6.4
8.58,72,3,1,14.4
8.41,83,4,1,16.1
6.95,55,2,1,10.0
9.53,72,6,1,16.2
9.86,100,7,1,24.0
6.72,56,4,0,8.2
8.52,66,5,1,14.1
8.86,92,6,1,18.8
7.6,71,4,0,11.6
9.21,75,7,1,17.8
7.29,64,3,0,9.8
6.89,78,3,1,12.6
7.29,55,1,0,7.2
7.14,93,3,1,14.9
7.71,96,4,1,18.1
7.41,78,2,1,12.3
7.46,65,4,1,12.8
8.54,74,4,1,14.7
8.74,88,4,1,17.4
7.25,62,4,1,12.6
6.74,64,1,0,6.5
8.88,77,6,1,16.7
8.51,76,6,1,17.0
9.63,73,8,1,19.1
9.56,100,7,1,21.2
7.71,68,3,0,11.1
7.19,72,2,1,12.6
8.45,81,5,1,16.7
7.49,88,1,1,13.8
6.55,51,1,0,6.0
8.43,89,5,1,19.0
6.75,76,1,1,12.9
9.89,100,6,1,22.3
7.78,77,2,0,11.7
9.11,82,6,1,19.6
6.44,46,2,0,5.8
8.76,62,1,1,13.1
9.36,92,5,1,19.3
8.74,82,3,1,15.2
9.77,94,7,1,22.0
6.06,69,1,1,8.9
9.31,98,6,1,20.9
7.08,81,3,1,11.5
8.59,92,4,1,16.4
6.52,69,1,1,9.2
8.29,60,3,0,11.0
7.32,83,3,1,15.0
8.92,94,4,1,19.2
9.21,90,6,1,20.0
6.56,67,2,1,10.7
9.77,92,8,1,22.6
9.41,100,6,1,20.2
9.19,87,6,1,20.2
6.98,48,3,1,8.4
6.41,61,1,0,5.3
8.64,89,5,1,18.8
8.09,73,4,1,15.3
6.16,56,3,0,7.1
8.46,90,2,1,15.5
6.63,61,1,1,8.3
6.58,65,1,0,6.9
6.36,52,2,0,7.3
7.3,60,2,0,9.5
9.67,78,4,1,16.0
8.6,85,4,1,17.1
7.39,67,4,1,13.6
9.04,80,5,1,16.2
9.9,92,9,1,22.8
9.88,100,7,1,22.3
6.98,61,5,1,10.6
9.6,100,5,1,21.7
8.81,86,4,1,17.2
9.67,79,7,1,20.8
