CGPA,Coding_Score,Communication_Score,Aptitude_Score,Projects_Count,Certifications_Count,Internship,Placement_Status
9.08,63,88,84,6,5,1,1
7.5,88,66,89,6,5,1,1
8.62,68,72,72,5,4,0,1
7.47,48,75,71,3,4,1,0
7.36,47,59,50,4,3,0,0
8.2,54,48,38,6,3,1,1
7.42,62,77,75,5,5,1,1
6.78,69,51,42,6,3,1,1
5.51,29,42,27,0,3,0,0
5.42,60,42,60,2,0,0,0
6.71,53,53,40,4,3,1,0
5.39,38,48,47,1,3,0,0
9.46,66,96,68,6,5,1,1
6.39,59,85,48,3,4,1,0
6.55,75,46,37,4,3,0,0
5.6,52,68,81,3,2,0,1
5.79,61,76,86,3,1,0,1
8.59,65,61,71,7,6,1,0
8.01,72,65,70,7,4,1,1
5.16,37,46,54,1,1,0,0
6.1,69,78,66,3,2,0,0
5.74,71,45,64,4,3,0,0
8.39,91,89,83,8,6,1,1
5.26,57,66,45,1,1,0,0
6.08,50,47,44,4,4,1,0
5.85,75,27,57,7,2,1,0
6.01,55,28,33,4,1,0,0
6.92,81,52,71,4,2,1,1
5.12,50,48,51,1,1,0,0
5.48,50,56,53,1,3,0,0
5.06,41,25,34,3,0,0,0
8.0,53,43,49,5,4,0,0
9.29,85,71,65,9,6,0,1
5.82,45,25,41,4,2,0,1
5.66,62,65,47,2,2,1,0
5.4,50,25,27,1,2,0,0
8.19,72,66,59,7,7,1,1
5.51,39,83,59,3,3,0,0
6.31,49,62,48,4,3,0,0
8.87,66,74,76,8,6,1,1
9.39,62,100,88,9,7,1,1
5.18,48,25,52,2,1,0,0
6.53,64,60,55,6,3,0,0
9.19,100,60,66,9,5,1,1
6.42,52,54,65,4,3,0,1
9.76,90,100,100,9,7,1,1
8.74,92,71,70,9,6,1,1
5.44,38,47,54,2,1,0,0
8.47,69,85,100,6,5,1,1
6.28,76,76,86,6,4,0,1
7.97,74,64,76,6,5,1,1
7.96,96,82,76,7,5,1,1
9.62,90,72,83,9,7,1,1
6.66,50,48,36,6,3,0,0
6.31,49,25,31,4,2,0,0
9.56,72,77,83,7,6,0,1
9.29,63,100,84,8,7,1,1
5.63,46,79,67,2,5,0,0
5.31,59,29,38,0,0,0,0
8.74,78,69,77,8,4,1,1
7.69,61,25,30,5,5,0,1
5.8,51,80,75,4,4,0,0
5.38,72,47,79,4,1,0,1
9.68,78,82,91,10,7,1,0
9.68,97,54,65,7,6,1,1
6.66,65,47,79,6,3,0,1
6.33,76,81,77,5,3,0,1
9.1,73,67,80,9,4,1,1
9.65,66,100,76,9,7,1,1
7.07,43,51,46,4,5,0,0
7.81,74,56,65,6,5,1,1
5.2,38,60,59,3,0,0,0
5.67,54,25,36,5,1,0,0
9.53,92,95,97,10,8,1,1
6.89,68,62,57,5,4,0,0
9.22,86,88,96,8,8,1,1
7.61,45,39,35,2,3,1,1
7.9,58,36,45,3,6,1,1
6.82,71,97,94,6,5,1,0
5.29,59,40,36,2,0,0,0
6.49,48,66,56,3,3,0,1
7.72,48,100,74,5,5,0,1
8.93,79,69,60,7,5,1,1
8.2,76,100,70,8,6,1,1
5.11,60,68,61,6,2,0,0
8.32,100,64,77,8,5,1,1
5.92,41,25,35,1,2,0,0
6.6,72,81,99,4,4,0,0
5.84,58,25,33,5,3,0,0
6.92,62,74,81,8,4,1,1
5.61,65,48,45,2,0,0,0
7.88,77,83,85,7,5,1,1
9.17,80,80,83,7,6,1,1
5.64,57,97,78,3,2,0,1
6.76,52,79,65,2,3,0,1
7.97,73,46,66,7,4,0,1
5.68,36,49,37,2,3,0,0
7.53,80,50,70,5,2,0,1
8.69,61,25,33,7,2,1,1
9.68,95,81,88,10,6,1,1
5.72,45,70,70,2,2,0,0
6.22,75,37,67,5,3,0,0
5.32,53,35,43,3,0,0,0
8.17,55,63,56,7,4,1,1
5.99,62,63,56,5,3,0,0
8.9,86,72,72,7,4,1,1
9.53,77,88,93,8,6,1,1
9.04,89,69,84,9,5,1,1
7.43,77,91,89,4,6,1,1
5.77,55,46,49,3,1,0,0
7.66,59,67,66,6,4,0,1
6.57,59,37,30,5,3,1,0
8.34,46,98,59,9,5,1,1
7.69,73,61,80,5,4,1,1
8.77,84,94,76,6,6,1,1
9.79,95,100,91,9,6,1,1
7.74,65,44,48,4,4,1,1
9.19,87,65,89,8,7,1,1
8.67,59,85,73,7,5,0,1
6.31,52,44,40,1,3,0,0
5.1,49,64,33,1,3,0,0
7.23,59,52,46,4,3,0,0
7.51,65,61,58,6,3,1,0
9.08,50,100,65,7,6,0,1
5.25,45,25,33,4,1,0,0
6.15,51,65,57,3,6,1,0
8.95,79,48,86,9,4,0,1
5.76,71,70,72,3,3,1,0
8.14,91,40,71,9,4,0,1
8.05,71,62,56,8,7,1,1
5.38,57,50,44,4,3,0,0
7.37,71,65,64,5,4,1,1
7.16,84,79,91,6,3,1,1
8.29,69,54,72,8,3,1,1
6.47,58,68,73,5,4,0,0
5.53,45,47,55,2,2,0,0
6.34,70,57,59,6,2,0,1
8.38,85,30,56,6,3,1,1
9.33,100,100,93,9,7,1,1
7.88,77,58,79,7,5,1,1
6.52,63,87,90,6,6,1,1
5.5,56,52,57,3,4,0,1
6.22,45,41,25,3,1,1,0
5.03,44,50,42,0,2,0,0
5.42,47,34,65,2,1,0,0
9.36,70,96,84,7,7,1,1
7.9,71,52,57,5,4,1,1
9.52,89,100,69,10,7,1,1
8.48,55,59,54,4,4,1,1
6.65,65,68,73,3,5,1,0
7.14,73,77,81,3,6,0,1
6.8,34,41,25,5,4,0,1
6.97,70,79,69,6,3,1,1
7.43,81,43,50,6,5,1,0
5.56,67,45,60,4,0,0,1
7.66,56,69,71,4,4,1,1
6.3,42,67,69,2,1,0,0
7.99,69,64,46,10,3,1,0
9.37,100,70,92,9,6,1,1
7.22,70,64,75,4,3,0,1
7.45,79,81,83,7,5,1,1
9.1,81,85,93,9,6,1,1
8.3,69,70,60,8,6,1,1
8.54,89,86,85,9,6,1,1
5.43,46,32,25,2,0,1,0
8.81,85,58,61,7,4,1,1
6.94,67,25,48,5,4,1,0
7.41,49,55,56,6,3,0,0
7.65,73,50,54,6,3,0,1
5.0,47,43,27,3,1,0,0
6.73,50,78,78,4,4,1,0
7.37,62,74,62,5,5,1,1
8.75,79,81,65,5,5,1,1
8.68,61,77,76,8,5,1,1
7.92,71,60,50,8,3,0,1
6.77,59,25,48,4,1,0,0
7.55,69,74,59,7,5,1,0
5.6,49,52,48,3,4,0,0
5.01,43,53,42,2,2,0,0
5.32,60,62,59,3,3,0,1
6.76,50,56,46,4,4,0,0
6.25,66,61,51,4,3,1,1
8.03,51,71,61,5,5,1,1
5.21,56,49,52,1,2,0,0
5.35,55,53,66,2,3,0,1
7.71,59,74,60,4,5,1,0
8.5,63,70,65,6,6,0,1
8.65,73,74,82,5,6,1,1
7.71,52,67,66,4,4,0,0
7.1,73,48,67,5,4,0,1
7.39,45,63,33,5,4,1,0
8.7,86,65,82,7,5,1,1
5.0,35,57,30,0,3,0,0
7.03,45,67,56,5,4,0,0
8.62,96,75,77,9,6,0,1
6.27,75,61,69,7,6,1,0
8.97,80,100,99,8,7,1,1
6.61,61,82,81,4,5,1,1
8.77,80,83,58,7,7,1,0
5.25,54,47,57,0,3,1,0
5.75,56,48,63,2,3,0,1
8.24,68,56,48,5,6,1,1
5.33,47,25,31,2,1,0,0
5.96,58,53,46,4,2,1,0
5.86,59,43,35,2,1,1,0
6.29,44,59,48,3,3,0,0
8.11,78,57,58,6,5,0,1
5.74,63,52,61,5,3,0,1
7.8,72,62,78,5,4,1,1
9.39,81,97,76,10,8,1,1
8.43,71,75,57,6,4,1,1
8.52,68,83,85,7,6,1,1
8.57,72,69,87,10,4,0,1
8.78,61,90,64,9,5,0,1
8.96,71,69,69,7,5,1,1
5.77,62,44,48,4,3,1,1
6.49,88,69,80,6,4,0,1
6.7,57,86,50,5,4,0,0
9.12,100,50,83,8,5,1,1
8.45,77,68,74,7,5,1,1
6.18,30,35,50,5,1,0,0
8.37,46,86,65,5,6,1,1
6.62,40,62,57,2,3,0,1
7.28,66,49,58,6,5,0,0
9.05,94,66,66,9,7,1,1
5.32,49,49,42,2,2,0,0
7.08,51,61,47,4,3,0,0
8.4,39,59,62,6,5,1,1
8.68,88,94,95,7,7,1,1
9.27,96,99,100,9,8,1,1
7.27,59,46,44,3,3,1,1
8.34,83,97,92,6,7,0,1
6.56,61,33,57,3,3,0,1
5.42,60,35,42,3,0,1,0
6.55,62,78,81,5,4,1,1
9.79,66,96,92,7,7,1,1
8.76,93,46,67,10,5,1,1
9.15,97,100,91,9,5,1,1
6.64,67,72,81,4,3,0,1
7.4,88,49,71,8,5,1,1
7.18,63,51,77,6,4,0,1
7.34,69,27,60,8,4,1,1
5.15,47,43,39,3,2,0,0
9.79,69,99,84,8,7,0,1
9.09,88,53,64,7,5,1,1
9.67,88,70,79,8,5,1,1
6.23,47,46,47,2,2,0,0
8.86,62,60,63,7,3,1,1
6.47,63,44,75,5,3,1,1
9.03,95,70,77,9,7,1,1
6.73,47,41,45,4,5,0,0
6.1,75,34,59,4,1,1,1
8.96,63,75,66,7,7,1,1
8.23,70,56,64,7,6,1,1
7.2,61,60,43,4,4,1,1
8.65,68,100,77,6,8,1,1
5.15,42,25,45,7,0,0,0
5.12,65,39,39,2,0,0,0
8.6,61,89,74,8,6,1,1
6.66,66,78,70,7,5,1,0
9.55,82,88,100,10,6,1,1
6.65,63,62,57,5,2,1,0
7.14,62,41,60,7,2,1,0
9.3,100,56,82,9,4,1,1
5.58,33,51,25,4,3,0,0
8.16,83,100,100,5,5,1,1
8.84,58,99,100,8,6,1,1
5.83,51,42,48,3,4,0,0
6.21,70,55,49,3,2,1,1
7.24,77,63,61,5,5,1,1
9.48,79,88,51,8,7,0,1
8.43,55,73,61,6,5,1,1
6.94,74,73,66,4,6,0,1
6.9,45,30,40,2,3,0,0
9.6,83,95,89,10,6,1,1
5.7,79,46,72,4,2,0,1
7.47,41,61,46,5,3,0,0
9.54,99,90,93,9,7,1,1
7.99,71,37,45,5,4,1,1
5.48,42,34,37,3,1,0,0
5.24,25,50,37,1,0,0,0
6.32,79,43,69,5,2,0,0
6.08,47,33,25,3,1,0,0
7.75,56,71,58,4,3,0,1
5.17,33,57,31,1,1,0,0
8.23,74,74,64,5,6,1,0
5.75,72,87,98,3,2,1,1
9.08,53,100,82,6,6,1,1
9.15,85,79,100,10,7,1,1
8.69,94,88,81,9,5,1,1
8.52,82,66,62,10,4,1,1
9.63,79,100,100,7,8,1,1
5.69,58,26,54,4,2,0,1
6.31,52,76,73,3,5,0,0
6.65,55,54,61,5,2,1,1
7.59,91,87,100,4,6,1,1
6.15,39,38,60,0,3,0,0
6.93,69,52,58,5,2,0,0
8.62,100,76,100,7,5,1,1
5.52,54,36,38,3,1,0,0
8.06,78,65,76,5,6,1,1
7.24,65,37,65,4,4,0,1
8.63,84,63,71,8,4,1,1
5.78,53,33,34,1,0,0,0
8.11,69,60,78,9,3,1,1
5.78,44,41,37,3,3,0,0
7.59,70,63,62,6,6,1,0
8.62,62,82,65,7,6,1,0
5.6,63,25,48,6,1,0,0
6.83,47,57,55,3,3,0,0
7.82,70,97,90,8,6,1,1
6.06,55,74,70,4,2,1,1
5.78,39,25,25,5,3,0,0
5.3,34,62,50,2,1,0,1
9.54,87,67,71,8,5,0,1
9.56,63,65,57,9,7,1,1
6.99,41,39,62,5,2,1,1
5.86,39,34,69,2,1,0,0
9.76,83,75,80,9,7,1,1
7.02,58,74,61,4,5,1,1
6.93,51,72,50,3,4,0,1
7.85,96,95,83,8,5,1,1
8.75,90,60,86,10,4,1,1
7.88,70,60,59,7,4,1,1
5.44,25,64,53,3,3,0,0
8.6,96,66,68,7,4,1,1
7.05,66,31,57,5,4,0,1
5.74,66,76,81,2,4,0,1
6.11,53,30,67,3,3,0,0
6.97,47,81,62,5,5,0,0
6.89,68,74,46,5,6,0,1
6.95,46,51,47,5,4,0,1
9.59,77,78,63,7,7,1,1
9.11,89,71,84,9,4,1,1
5.58,50,41,64,1,3,0,0
9.12,81,96,96,8,7,1,1
7.28,59,66,69,4,7,1,0
8.98,88,71,92,9,5,1,1
6.96,83,74,73,6,4,1,1
7.61,94,40,54,8,3,1,1
5.66,58,51,39,1,2,0,0
7.01,69,53,74,6,3,1,1
5.98,43,47,41,3,1,0,0
6.8,61,62,61,4,2,0,0
9.13,92,76,83,10,6,1,1
8.39,72,35,53,8,3,1,1
6.16,28,56,25,2,3,0,0
5.79,53,25,35,3,3,1,0
6.19,65,34,48,4,1,1,1
7.61,49,62,46,6,5,0,1
7.63,45,25,27,5,3,0,1
8.66,55,100,69,5,7,1,0
9.4,100,74,94,8,5,1,1
6.83,49,37,35,6,4,0,0
5.98,46,46,65,2,2,0,0
6.86,51,39,48,4,3,1,1
9.45,82,100,77,9,6,1,1
9.57,73,80,55,9,6,1,1
9.62,59,91,83,9,6,1,1
8.81,65,90,89,7,6,1,1
7.16,85,30,47,6,4,1,1
9.64,80,82,61,10,7,1,1
5.59,55,55,56,5,3,0,0
6.64,71,58,60,4,1,0,1
9.17,80,74,81,7,8,1,1
5.2,50,52,58,2,3,0,1
8.49,72,45,56,6,5,1,0
8.66,80,81,97,10,5,1,1
5.95,82,37,36,5,0,0,1
7.28,62,74,69,4,4,0,1
7.95,33,45,27,6,4,0,1
7.77,45,69,51,5,4,1,1
7.74,58,57,67,7,5,1,1
8.64,56,81,69,5,6,1,1
7.68,68,74,68,6,4,1,1
6.95,72,67,71,4,3,0,0
8.25,77,58,58,7,4,1,0
6.0,25,35,45,4,2,0,0
7.58,90,47,64,8,4,1,1
8.67,89,74,82,6,5,1,0
8.09,76,81,75,7,6,1,1
7.13,59,50,50,4,2,1,1
7.8,81,54,58,9,4,1,1
5.18,44,59,30,3,4,0,0
7.19,68,65,59,7,4,1,0
5.98,51,25,38,3,2,1,1
6.43,44,42,38,4,3,1,0
7.21,72,61,71,5,4,1,1
7.06,58,61,36,4,5,0,0
7.44,47,31,41,5,2,1,1
7.11,53,31,46,2,3,1,1
7.16,74,97,100,6,6,1,1
7.61,75,68,63,7,3,1,1
7.32,57,80,58,5,3,1,1
8.11,79,70,82,6,5,1,1
5.44,60,37,61,4,1,0,0
6.54,45,76,52,3,2,0,0
5.92,36,44,25,4,3,0,0
8.25,83,70,67,7,6,1,1
6.39,33,70,39,1,2,0,0
8.84,72,61,71,8,5,1,1
5.29,63,25,37,2,2,0,0
7.14,76,46,72,5,2,1,1
7.78,83,73,93,7,3,1,1
7.42,60,26,53,6,3,0,0
5.55,48,85,75,2,3,0,1
7.09,46,68,38,7,4,0,0
8.01,54,50,43,6,5,0,0
5.54,64,25,43,2,2,0,0
9.68,89,100,100,9,8,1,1
8.97,76,73,76,9,6,1,0
6.73,36,69,68,2,3,1,0
5.19,27,25,25,2,2,0,0
7.64,59,49,63,4,4,0,0
5.9,60,40,55,4,1,0,0
5.13,34,70,60,1,1,0,0
8.25,82,66,70,9,6,1,1
5.27,58,68,46,1,3,0,1
6.13,60,43,62,3,2,0,0
8.62,68,75,67,6,4,1,1
9.39,88,73,94,9,5,1,1
5.45,54,54,44,3,1,0,1
5.8,54,70,74,4,2,1,1
9.28,94,100,100,10,6,1,1
9.37,69,100,85,9,7,1,1
8.04,76,82,59,6,6,1,1
7.86,72,73,76,5,6,1,0
9.63,80,71,75,8,6,1,0
8.02,63,67,60,5,5,0,1
8.4,89,82,64,8,3,0,1
8.92,83,100,100,10,5,1,1
9.19,74,56,76,10,5,1,1
5.1,61,25,37,5,0,0,0
6.01,58,50,62,4,3,0,0
5.98,32,25,32,4,2,0,0
7.23,79,79,78,7,7,1,1
5.48,69,33,52,3,1,0,1
9.73,100,62,90,10,5,1,1
8.73,92,65,90,7,4,1,1
6.97,65,25,25,6,3,1,1
8.79,82,61,76,9,6,1,1
7.32,72,81,77,6,5,1,0
5.24,68,66,66,3,3,1,1
7.21,71,48,83,4,3,0,1
9.19,75,82,79,9,6,1,1
5.64,56,46,48,3,2,0,1
8.46,50,99,57,7,7,1,1
7.85,67,72,65,6,4,0,0
7.46,48,85,55,1,5,1,1
7.36,71,53,73,5,3,0,1
5.81,57,25,43,3,0,1,0
8.65,63,78,71,8,4,1,1
5.25,57,36,56,2,1,0,1
5.94,60,74,65,5,2,0,0
6.27,66,62,56,3,4,0,1
5.09,30,43,47,0,1,0,0
8.76,40,100,88,9,7,1,1
5.74,59,25,34,3,1,1,1
5.25,86,66,64,3,1,1,0
5.11,57,40,38,4,3,0,0
8.32,75,54,49,9,5,1,0
6.24,60,50,42,2,2,0,0
5.74,36,52,42,1,3,1,0
8.75,66,78,75,8,5,1,1
9.16,100,90,100,8,6,1,1
6.62,52,85,80,3,5,1,0
5.75,61,81,74,2,4,1,1
7.84,71,74,63,7,6,0,1
6.0,53,80,62,2,3,0,0
6.68,55,79,59,6,4,1,1
6.81,75,55,53,6,4,0,1
8.11,61,100,84,6,6,1,1
5.18,59,83,70,2,1,0,0
8.12,75,63,73,9,5,1,1
5.18,25,88,58,0,3,0,0
6.71,34,64,56,4,4,0,0
7.88,97,58,86,5,4,1,1
9.76,73,72,59,10,7,1,1
5.29,40,28,39,1,1,0,0
6.85,82,70,75,4,4,0,1
6.29,60,66,66,6,2,1,1
6.29,48,61,50,3,4,1,0
9.04,69,78,54,10,6,1,1
9.55,77,91,70,10,7,1,1
8.43,72,73,61,10,5,0,1
7.04,50,51,29,4,3,1,0
5.97,42,38,46,3,2,1,0
9.06,97,86,90,8,5,1,1
5.32,70,40,60,3,2,0,0
5.9,63,63,38,4,6,1,1
6.6,58,64,59,4,3,1,1
5.74,35,25,39,2,1,1,0
5.37,50,47,45,3,1,0,1
5.92,79,35,47,3,3,1,1
9.42,100,88,88,9,7,1,1
9.17,74,57,69,10,5,1,1
7.33,61,77,90,6,3,0,1
8.07,66,68,67,7,5,1,0
6.28,64,47,51,3,2,1,1
5.65,28,25,25,2,2,0,0
5.73,57,32,25,4,3,0,0
9.15,100,92,68,8,7,1,1
7.7,59,95,89,6,4,1,1
9.46,75,96,80,8,8,1,1
6.11,47,73,46,3,2,0,0
5.77,50,64,53,3,3,0,1
9.77,91,50,66,10,5,1,1
8.81,81,95,82,7,7,1,1
8.54,72,39,58,8,4,1,1
6.91,72,48,57,5,2,1,0
8.55,60,64,43,7,5,1,1
9.68,100,65,83,9,8,1,1
7.46,91,30,54,4,2,1,0
9.36,91,81,67,9,7,1,1
9.6,55,83,69,8,6,1,1
9.11,80,77,68,7,6,1,1
9.53,87,52,78,9,5,1,1
8.87,77,48,53,8,4,1,1
6.11,60,67,65,3,2,0,0
7.95,63,100,85,8,5,1,1
6.54,38,65,62,2,1,0,0
8.23,64,63,63,6,6,1,1
8.93,100,88,77,10,6,1,1
9.04,83,60,71,8,5,1,1
8.59,85,65,75,9,4,1,1
9.55,50,100,90,9,5,1,1
8.99,71,54,47,7,6,1,1
7.42,66,52,56,7,4,0,0
7.9,58,66,75,8,6,1,1
7.58,69,97,65,6,6,0,1
5.98,54,79,55,3,3,0,0
9.53,95,79,91,9,6,1,1
6.75,51,60,69,5,5,1,0
7.08,68,41,57,4,3,1,1
9.01,76,57,62,8,5,1,1
9.23,80,82,83,9,6,1,1
8.32,88,69,76,7,5,1,1
8.22,65,78,77,5,6,0,1
8.72,75,86,96,6,6,0,1
6.3,65,25,42,3,3,0,0
8.41,65,81,78,7,7,1,1
9.76,85,50,66,10,6,1,1
7.84,98,69,70,7,5,1,1
9.48,100,77,71,9,5,1,1
7.19,58,25,60,6,2,0,0
9.12,65,88,75,8,6,1,1
7.94,69,100,91,5,7,1,1
9.1,94,66,87,8,7,1,1
8.22,58,51,53,6,4,1,0
6.45,50,81,77,4,3,1,1
7.62,59,55,56,4,5,1,1
6.32,48,54,36,4,3,0,0
5.32,58,38,57,1,3,1,1
6.03,57,25,50,4,2,0,0
5.24,48,89,65,5,1,0,0
8.39,85,66,70,8,4,0,0
5.95,56,79,50,3,6,1,0
8.24,74,43,54,4,5,1,1
7.07,57,69,54,3,4,0,0
6.34,48,48,50,4,2,0,0
6.75,59,37,54,4,6,1,1
5.41,41,25,47,0,1,1,0
8.19,73,33,41,6,3,1,1
5.64,49,50,63,2,2,0,0
6.29,40,70,28,3,3,0,0
9.02,92,95,80,9,7,1,1
8.2,62,80,63,3,7,1,0
7.88,66,30,38,7,2,1,0
5.6,50,46,51,3,3,0,0
8.78,74,100,93,9,5,1,1
8.07,67,55,58,8,3,1,1
7.84,62,67,62,6,5,1,1
8.03,71,48,72,8,4,1,0
9.42,68,88,74,9,6,1,1
7.79,77,78,95,7,6,1,1
5.92,53,71,44,4,3,0,0
5.9,42,35,31,4,2,0,0
9.66,66,75,75,10,6,1,1
9.33,100,69,89,9,7,1,1
7.16,43,48,43,3,3,1,0
5.35,50,64,81,2,3,0,0
6.72,51,72,62,5,5,0,0
7.48,69,77,74,5,4,1,1
5.35,68,48,62,5,1,0,1
9.78,76,89,90,9,8,1,1
6.14,55,37,61,4,2,1,0
9.33,74,79,65,8,6,1,1
8.19,56,80,57,9,4,1,1
6.45,67,30,55,3,3,0,1
7.95,59,78,83,5,4,1,1
7.42,61,40,53,5,3,1,1
9.22,84,59,76,9,5,1,1
7.06,57,33,46,5,3,1,0
6.22,53,35,50,5,2,0,0
9.53,71,74,74,8,6,1,1
6.84,54,49,49,5,4,0,0
5.57,53,39,25,3,0,1,0
5.27,35,25,47,1,0,0,1
9.03,99,100,93,9,6,1,1
5.5,48,25,25,3,0,0,0
7.35,72,83,69,6,5,1,0
5.63,49,60,52,2,3,1,1
8.27,64,60,59,7,5,1,1
6.26,56,26,51,5,1,0,1
6.83,71,82,66,5,4,0,0
5.72,53,48,46,3,2,0,1
7.02,56,73,77,6,3,0,1
7.11,62,90,79,4,5,1,1
5.56,42,37,42,4,0,0,0
8.33,77,100,76,8,7,1,1
7.19,87,70,72,4,4,1,1
6.7,70,51,51,6,3,1,0
9.7,71,86,69,8,7,1,1
6.61,55,86,74,2,4,0,0
7.09,72,87,89,8,4,1,1
6.03,25,62,48,2,4,0,0
7.56,100,52,78,7,4,1,1
8.56,97,58,91,7,6,1,1
6.39,64,35,37,5,3,0,0
8.27,81,67,75,8,4,1,1
9.56,82,72,86,9,5,1,1
6.93,74,69,61,3,3,1,1
7.09,63,67,47,6,5,1,1
5.03,27,25,27,0,1,0,0
6.61,35,46,30,3,2,0,0
8.19,53,56,45,7,4,1,1
6.82,39,61,51,4,4,0,1
7.83,46,78,61,5,4,0,0
8.02,77,71,84,5,5,0,1
9.42,77,46,85,10,6,1,1
8.64,53,98,71,6,6,1,1
7.45,57,73,53,5,4,1,1
9.65,97,92,89,10,6,1,1
5.86,57,25,49,3,1,0,0
9.16,87,84,85,7,6,1,1
8.85,91,94,91,10,6,1,1
5.86,77,52,58,5,2,1,1
5.25,28,48,32,3,2,0,0
7.97,61,46,38,8,3,1,1
7.47,53,61,63,4,4,0,1
9.6,98,98,100,9,8,1,1
5.02,68,29,34,2,0,1,1
8.72,72,82,69,6,5,1,1
5.31,50,54,28,1,4,0,0
8.14,78,57,75,6,4,1,1
9.54,82,92,83,10,6,0,1
7.1,55,44,48,6,3,0,0
5.01,32,57,51,1,1,0,0
8.89,81,65,80,8,5,1,1
6.35,55,55,53,4,2,0,0
6.53,68,51,55,3,3,1,0
8.26,77,83,81,5,6,1,1
7.26,93,83,93,3,4,1,1
9.39,90,58,61,9,5,1,1
5.82,70,54,45,3,1,1,1
9.13,55,75,47,8,5,0,1
7.23,68,69,79,5,4,1,1
7.5,90,72,79,4,3,1,1
8.07,90,80,90,7,5,1,1
6.36,57,34,43,4,4,0,0
8.97,67,63,55,7,4,1,1
6.09,64,73,40,2,2,1,1
7.66,59,66,52,6,4,1,1
7.56,55,42,54,6,2,1,1
6.07,70,31,67,5,2,0,0
9.45,97,63,71,9,7,1,1
8.87,65,100,100,8,6,1,1
6.06,64,52,68,2,2,1,0
6.21,57,48,47,3,1,0,1
7.48,89,56,59,6,3,0,0
6.11,51,25,50,3,2,0,1
6.91,49,57,35,3,5,1,0
6.48,48,93,76,3,5,0,1
5.66,42,60,45,3,3,0,0
6.99,63,50,67,6,1,0,1
5.4,71,49,43,2,1,0,0
8.46,100,85,96,8,6,1,1
9.48,84,71,80,7,6,1,1
7.76,88,77,99,4,3,0,1
8.22,79,65,52,5,7,1,1
8.89,95,85,91,8,6,1,1
6.55,65,40,64,5,3,0,0
8.06,78,75,77,7,5,1,1
7.13,55,63,59,5,3,0,1
5.59,43,29,54,4,0,0,0
9.15,79,77,89,9,4,1,1
5.03,31,29,46,2,1,0,1
7.67,51,75,72,6,4,1,1
7.06,79,50,69,7,4,1,1
6.81,94,44,69,6,1,1,1
5.79,62,68,49,5,4,0,0
6.38,34,25,44,1,2,0,0
7.71,77,47,84,6,3,1,1
9.69,90,79,81,9,7,1,1
5.2,50,56,42,2,1,0,0
6.22,72,31,67,6,1,0,0
8.47,65,35,45,6,4,1,1
7.08,54,61,82,4,3,0,1
7.77,90,40,64,6,4,0,1
7.59,56,95,77,5,6,0,0
6.89,92,42,82,5,1,0,1
8.17,71,48,71,7,5,1,1
6.7,71,25,47,4,2,0,0
8.17,70,100,89,6,6,1,1
6.3,53,35,47,4,0,1,0
8.37,62,84,70,7,7,0,1
7.88,94,75,84,6,6,1,1
5.45,51,54,56,4,2,0,0
7.28,56,80,85,5,6,0,0
7.36,61,41,45,5,3,1,1
8.7,66,74,68,3,6,1,1
6.42,70,28,38,3,4,0,0
6.39,65,59,60,5,4,1,1
7.46,73,73,80,6,5,0,1
6.27,56,78,69,3,3,1,1
8.4,60,94,67,7,6,1,1
5.88,52,55,68,4,4,0,1
8.04,76,92,80,7,6,1,0
8.61,95,67,76,9,5,1,1
